기준일,수급안정화지수,전월대비  등락가,전월대비 등락율
2017-01,null,0,0
2017-02,78.24,0,0
2017-03,74.56,-3.68,-4.70
2017-04,77.10,2.54,3.41
2017-05,80.06,2.96,3.84
2017-06,82.15,2.09,2.61
2017-07,82.86,0.71,0.87
2017-08,79.39,-3.47,-4.19
2017-09,71.55,-7.83,-9.87
2017-10,68.84,-2.72,-3.80
2017-11,68.31,-0.53,-0.77
2017-12,62.63,-5.67,-8.31
2018-01,66.26,3.62,5.78
2018-02,52.38,-13.88,-20.94
2018-03,47.69,-4.69,-8.96
2018-04,48.57,0.88,1.85
2018-05,44.42,-4.15,-8.54
2018-06,41.73,-2.69,-6.06
2018-07,36.27,-5.47,-13.10
2018-08,46.92,10.65,29.38
2018-09,49.69,2.78,5.91
2018-10,56.57,6.88,13.84
2018-11,59.53,2.96,5.23
2018-12,69.12,9.60,16.12
2019-01,72.46,3.34,4.82
2019-02,65.48,-6.98,-9.63
2019-03,55.47,-10.01,-15.28
2019-04,52.35,-3.12,-5.63
2019-05,54.25,1.90,3.63
2019-06,60.78,6.53,12.03
2019-07,60.04,-0.74,-1.21
2019-08,48.04,-12.00,-19.99
2019-09,34.51,-13.53,-28.17
2019-10,25.11,-9.39,-27.22
2019-11,26.65,1.54,6.12
2019-12,37.26,10.61,39.81
2020-01,47.78,10.52,28.24
2020-02,60.25,12.47,26.10
2020-03,60.75,0.50,0.82
2020-04,68.00,7.25,11.93
2020-05,68.40,0.41,0.60
2020-06,62.49,-5.91,-8.64
2020-07,56.98,-5.51,-8.81
2020-08,49.71,-7.28,-12.77
2020-09,39.97,-9.73,-19.58
2020-10,37.75,-2.23,-5.57
2020-11,35.01,-2.74,-7.25
2020-12,29.33,-5.68,-16.22
2021-01,25.78,-3.55,-12.10
2021-02,17.27,-8.51,-33.02
2021-03,13.16,-4.11,-23.81
2021-04,21.46,8.30,63.07
2021-05,18.41,-3.05,-14.20
2021-06,12.08,-6.33,-34.37
2021-07,11.30,-0.79,-6.51
2021-08,9.07,-2.23,-19.74
2021-09,9.08,0.01,0.09
2021-10,8.79,-0.28,-3.11
2021-11,7.90,-0.89,-10.13
2021-12,10.16,2.25,28.52
2022-01,8.81,-1.35,-13.24
2022-02,7.40,-1.41,-16.00
2022-03,6.24,-1.16,-15.66
2022-04,6.34,0.10,1.54
2022-05,8.12,1.78,28.10
2022-06,7.59,-0.53,-6.55
2022-07,9.82,2.23,29.42
2022-08,16.42,6.60,67.22
2022-09,16.37,-0.05,-0.32
2022-10,16.64,0.27,1.65
2022-11,17.82,1.18,7.08
2022-12,11.87,-5.95,-33.37
2023-01,9.53,-2.34,-19.72
2023-02,9.59,0.06,0.65
2023-03,13.99,4.40,45.91
2023-04,19.88,5.88,42.05
2023-05,18.54,-1.34,-6.76
2023-06,25.90,7.36,39.71
2023-07,29.55,3.66,14.11
2023-08,28.00,-1.55,-5.26
2023-09,30.97,2.97,10.62
2023-10,31.98,1.01,3.26
2023-11,41.74,9.76,30.53
2023-12,47.40,5.66,13.55
2024-01,48.14,0.74,1.56
2024-02,52.14,4.00,8.32
2024-03,51.21,-0.93,-1.78
2024-04,44.00,-7.22,-14.09
2024-05,36.40,-7.60,-17.27
2024-06,27.85,-8.55,-23.49
